time,producer-service-1_throughput,total_throughput,producer-service-1_latency,average_latency
2021-05-05T19:21:39.000Z,50096,50096,272.82058447780264,272.82058447780264
2021-05-05T19:21:40.000Z,46203,46203,272.86080990411875,272.86080990411875
2021-05-05T19:21:41.000Z,51923,51923,270.243533694124,270.243533694124
2021-05-05T19:21:42.000Z,47266,47266,280.72538399695344,280.72538399695344
2021-05-05T19:21:43.000Z,52734,52734,262.448951340691,262.448951340691
2021-05-05T19:21:44.000Z,50742,50742,266.49810807614995,266.49810807614995
2021-05-05T19:21:45.000Z,48863,48863,269.6026441274584,269.6026441274584
2021-05-05T19:21:46.000Z,48027,48027,294.0503258583713,294.0503258583713
2021-05-05T19:21:47.000Z,50807,50807,263.6025350837483,263.6025350837483
2021-05-05T19:21:48.000Z,50989,50989,268.8390829394575,268.8390829394575
2021-05-05T19:21:49.000Z,50932,50932,267.870415455902,267.870415455902
2021-05-05T19:21:50.000Z,53621,53621,240.64829078159676,240.64829078159676
2021-05-05T19:21:51.000Z,48765,48765,278.4979801086845,278.4979801086845
2021-05-05T19:21:52.000Z,52347,52347,265.0775784667698,265.0775784667698
2021-05-05T19:21:53.000Z,44737,44737,293.6979234190938,293.6979234190938
2021-05-05T19:21:54.000Z,50696,50696,280.9528956919678,280.9528956919678
2021-05-05T19:21:55.000Z,49105,49105,281.5877201914265,281.5877201914265
2021-05-05T19:21:56.000Z,49283,49283,269.45679037396263,269.45679037396263
2021-05-05T19:21:57.000Z,51508,51508,272.147355750563,272.147355750563
2021-05-05T19:21:58.000Z,47764,47764,291.185767523658,291.185767523658
2021-05-05T19:21:59.000Z,47228,47228,290.7522232573897,290.7522232573897
2021-05-05T19:22:00.000Z,45536,45536,306.85220484891073,306.85220484891073
2021-05-05T19:22:01.000Z,48169,48169,290.8290809441757,290.8290809441757
2021-05-05T19:22:02.000Z,46587,46587,289.16086032584195,289.16086032584195
2021-05-05T19:22:03.000Z,47786,47786,289.0642866111413,289.0642866111413
2021-05-05T19:22:04.000Z,46010,46010,302.8639426211693,302.8639426211693
2021-05-05T19:22:05.000Z,41942,41942,320.0735301130132,320.0735301130132
2021-05-05T19:22:06.000Z,45257,45257,311.0501137945511,311.0501137945511
2021-05-05T19:22:07.000Z,45890,45890,300.0869252560471,300.0869252560471
2021-05-05T19:22:08.000Z,46252,46252,311.5014053446337,311.5014053446337
2021-05-05T19:22:09.000Z,45603,45603,293.2809245005811,293.2809245005811
2021-05-05T19:22:10.000Z,48742,48742,288.74531205120843,288.74531205120843
2021-05-05T19:22:11.000Z,49588,49588,275.79741066387027,275.79741066387027
2021-05-05T19:22:12.000Z,50244,50244,270.535805270281,270.535805270281
2021-05-05T19:22:13.000Z,48015,48015,294.3704050817453,294.3704050817453
2021-05-05T19:22:14.000Z,47998,47998,279.3602441768407,279.3602441768407
2021-05-05T19:22:15.000Z,50493,50493,277.6286415938843,277.6286415938843
2021-05-05T19:22:16.000Z,51558,51558,261.1286900190077,261.1286900190077
2021-05-05T19:22:17.000Z,48460,48460,279.9151052414362,279.9151052414362
2021-05-05T19:22:18.000Z,50115,50115,264.0193155741794,264.0193155741794
2021-05-05T19:22:19.000Z,47052,47052,297.1874521805662,297.1874521805662
2021-05-05T19:22:20.000Z,47081,47081,296.5978420169495,296.5978420169495
2021-05-05T19:22:21.000Z,50243,50243,271.07698584877494,271.07698584877494
2021-05-05T19:22:22.000Z,48171,48171,286.9329679682797,286.9329679682797
2021-05-05T19:22:23.000Z,47692,47692,284.8420489809612,284.8420489809612
2021-05-05T19:22:24.000Z,48433,48433,281.8375281316458,281.8375281316458
2021-05-05T19:22:25.000Z,49056,49056,279.4467954990215,279.4467954990215
2021-05-05T19:22:26.000Z,47664,47664,287.95766196710304,287.95766196710304
2021-05-05T19:22:27.000Z,48371,48371,283.9984701577391,283.9984701577391
2021-05-05T19:22:28.000Z,44900,44900,296.46937639198217,296.46937639198217
2021-05-05T19:22:29.000Z,48838,48838,284.5481182685614,284.5481182685614
2021-05-05T19:22:30.000Z,46288,46288,296.7171837193225,296.7171837193225
2021-05-05T19:22:31.000Z,43287,43287,322.51008385889526,322.51008385889526
2021-05-05T19:22:32.000Z,47942,47942,293.741667014309,293.741667014309
2021-05-05T19:22:33.000Z,42506,42506,319.03310120924107,319.03310120924107
2021-05-05T19:22:34.000Z,52870,52870,274.22479667108,274.22479667108
2021-05-05T19:22:35.000Z,47716,47716,279.5448486880711,279.5448486880711
