time,producer-service-1_throughput,producer-service-2_throughput,producer-service-3_throughput,producer-service-4_throughput,producer-service-5_throughput,total_throughput,producer-service-1_latency,producer-service-2_latency,producer-service-3_latency,producer-service-4_latency,producer-service-5_latency,average_latency
2021-04-20T17:12:10.000Z,38106,40276,38190,37888,39936,194396,147683.22545006036,147711.18529645447,147695.1994763027,147722.7904349662,147710.02095853366,147704.48432326346
2021-04-20T17:12:11.000Z,39718,40707,42615,38488,39936,201464,149010.88310086107,149017.7708256565,149009.16252493253,149012.48157867388,149020.02744391025,149014.06509480687
2021-04-20T17:12:12.000Z,41485,40710,42365,41384,39936,205880,150459.34130408583,150450.35168263325,150477.98182461938,150489.37519331143,150459.33771534456,150467.27754399888
2021-04-20T17:12:13.000Z,40435,39075,41984,38912,40960,201366,151915.93629281563,151917.2392578375,151910.09691787348,151932.75426603618,151907.332421875,151916.67183128756
2021-04-20T17:12:14.000Z,40960,40960,43008,42453,41412,208793,154532.71577148436,154668.42878417968,154607.4005766369,154650.9341389301,154611.1210760166,154614.1200694495
2021-04-20T17:12:15.000Z,38998,39936,40960,39165,40508,199567,158670.57564490486,158692.80398637822,158667.89677734376,158704.74147836078,158659.6427372371,158679.13212484494
2021-04-20T17:12:16.000Z,39850,40835,39936,37166,44032,201819,160078.36933500628,160092.6317129913,160079.39763621794,160139.17209277296,160085.2793422965,160094.97002385702
2021-04-20T17:12:17.000Z,40261,39037,39936,40232,39936,199402,161511.48669928714,161551.62389527884,161535.7528044872,161531.90554782262,161532.31876001603,161532.61754137836
2021-04-20T17:12:18.000Z,37563,37888,38912,37592,36864,188819,162855.36690360194,162840.9748997044,162859.19055818257,162872.29705788466,162854.58401150175,162856.48268617506
2021-04-20T17:12:19.000Z,39712,41265,39949,39936,38912,199774,164226.8007655117,164208.96842360354,164251.48023730257,164215.35404146634,164230.73013466282,164226.6667205094
2021-04-20T17:12:20.000Z,39344,37400,40947,39058,39936,196685,165828.66386234242,165855.9609358289,165840.90790534104,165794.12852680628,165825.49045973556,165829.03033801084
2021-04-20T17:12:21.000Z,38704,39095,36864,36718,37888,189269,170516.86611202976,170634.2144008185,170555.98928493925,170534.65507380577,170592.84245671454,170566.91346566155
2021-04-20T17:12:22.000Z,38912,38912,40423,38650,41436,198333,172195.35711348685,172202.0767629523,172181.9135393217,172172.33200517466,172174.39243652864,172185.2143714928
2021-04-20T17:12:23.000Z,40277,41984,40473,40198,39460,202392,173485.44181542817,173517.45946074696,173495.35571862722,173520.0343051893,173510.7469842879,173505.8076568559
2021-04-20T17:12:24.000Z,38571,43008,45056,40960,39733,207328,174927.5944880869,174917.63941592263,174922.32543945312,174919.78466796875,174942.80457050813,174926.02971638791
2021-04-20T17:12:25.000Z,39936,40960,39019,41984,41163,203062,176375.37938201122,176346.12333984376,176346.00540762194,176349.97649104422,176359.55498870346,176355.40792184492
2021-04-20T17:12:26.000Z,39936,44032,40853,41862,41984,208667,177882.98247195513,177880.69549418605,177870.19643600224,177863.96973388753,177873.67428067836,177874.30368334186
2021-04-20T17:12:27.000Z,13312,14336,16384,12410,15360,71802,179158.48985877403,179115.7347935268,179183.7364501953,179096.4084609186,179184.99954427083,179147.8738215371
